TranDate,Account,Dept,SumofAmount,CustomerSegment,Channel,Product,ProductCategory
01/04/2018,61510,150,-60.68,Non-Loyalty,Online,Accessories,Decor
01/04/2018,61520,150,-160.80,Non-Loyalty,Online,Accessories,Decor
01/04/2018,61530,150,-48.47,Non-Loyalty,Online,Accessories,Decor
01/04/2018,61540,150,-3.59,Non-Loyalty,Online,Accessories,Decor
01/04/2018,61550,150,-151.14,Non-Loyalty,Online,Accessories,Decor
01/04/2018,61560,150,-8.86,Non-Loyalty,Online,Accessories,Decor
01/04/2018,61570,150,-161.62,Non-Loyalty,Online,Accessories,Decor
01/04/2018,62010,150,-780.64,Non-Loyalty,Online,Bakeware,Dining & Entertainment
01/04/2018,62020,150,-333.00,Non-Loyalty,Online,Bakeware,Dining & Entertainment
01/04/2018,62030,150,-0.53,Non-Loyalty,Online,Bakeware,Dining & Entertainment
01/04/2018,62099,150,21.38,Non-Loyalty,Online,Bakeware,Dining & Entertainment
01/04/2018,62510,120,-126.83,Non-Loyalty,Online,Bakeware,Dining & Entertainment
01/04/2018,62520,120,-44.16,Non-Loyalty,Online,Bakeware,Dining & Entertainment
01/04/2018,62530,120,-21.12,Non-Loyalty,Online,Bakeware,Dining & Entertainment
01/04/2018,62550,120,-43.18,Non-Loyalty,Online,Bakeware,Dining & Entertainment
01/04/2018,62560,120,-12.41,Non-Loyalty,Online,Bakeware,Dining & Entertainment
01/04/2018,63050,150,-2.32,Non-Loyalty,Online,Bakeware,Dining & Entertainment
01/04/2018,64000,150,252.55,Non-Loyalty,Online,Bar Tools,Dining & Entertainment
01/04/2018,64010,150,18.06,Non-Loyalty,Online,Bar Tools,Dining & Entertainment
01/04/2018,64020,150,6.83,Non-Loyalty,Online,Bar Tools,Dining & Entertainment
01/04/2018,65540,110,-513.77,Non-Loyalty,Online,Bar Tools,Dining & Entertainment
01/04/2018,65550,110,-55.42,Non-Loyalty,Online,Bar Tools,Dining & Entertainment
01/04/2018,65570,110,-3.78,Non-Loyalty,Online,Bar Tools,Dining & Entertainment
01/04/2018,65590,110,-52.00,Non-Loyalty,Online,Bar Tools,Dining & Entertainment
01/04/2018,65600,110,-259.50,Non-Loyalty,Online,Bar Tools,Dining & Entertainment
01/04/2018,65610,110,-37.23,Non-Loyalty,Online,Bar Tools,Dining & Entertainment
01/04/2018,65660,110,-19.52,Non-Loyalty,Online,Bar Tools,Dining & Entertainment
01/04/2018,65690,110,-55.35,Non-Loyalty,Online,Bar Tools,Dining & Entertainment
01/04/2018,65700,110,-248.05,Non-Loyalty,Online,Bar Tools,Dining & Entertainment
01/04/2018,65710,110,-764.01,Non-Loyalty,Online,Bar Tools,Dining & Entertainment
01/04/2018,65730,110,-15.82,Non-Loyalty,Online,Bar Tools,Dining & Entertainment
01/04/2018,65740,110,-511.41,Non-Loyalty,Online,Bar Tools,Dining & Entertainment
01/04/2018,65750,110,-677.66,Non-Loyalty,Online,Bar Tools,Dining & Entertainment
01/04/2018,65760,110,-3.66,Non-Loyalty,Online,Bar Tools,Dining & Entertainment
01/04/2018,65770,110,0.68,Non-Loyalty,Online,Bathroom Furniture,Furniture
01/04/2018,65900,170,-75.94,Non-Loyalty,Online,Bathroom Furniture,Furniture
01/04/2018,66010,130,-5.64,Non-Loyalty,Online,Bathroom Furniture,Furniture
01/04/2018,66020,130,-213.44,Non-Loyalty,Online,Bathroom Furniture,Furniture
01/04/2018,66030,130,-2.67,Non-Loyalty,Online,Bathroom Furniture,Furniture
01/04/2018,66040,130,-8.84,Non-Loyalty,Online,Bathroom Furniture,Furniture
01/04/2018,66050,130,-46.83,Non-Loyalty,Online,Bathroom Furniture,Furniture
01/04/2018,66070,130,-11.80,Non-Loyalty,Online,Bathroom Furniture,Furniture
01/04/2018,66080,130,-2.53,Non-Loyalty,Online,Bathroom Furniture,Furniture
01/04/2018,66090,130,-10.63,Non-Loyalty,Online,Bathroom Furniture,Furniture
01/04/2018,66100,130,-5.81,Non-Loyalty,Online,Bathroom Furniture,Furniture
01/04/2018,66110,130,-0.70,Non-Loyalty,Online,Bathroom Furniture,Furniture
01/04/2018,66120,130,-1.83,Non-Loyalty,Online,Bathroom Furniture,Furniture
01/04/2018,66130,130,-82.77,Non-Loyalty,Online,Bathroom Furniture,Furniture
01/04/2018,66510,140,-38.95,Non-Loyalty,Online,Bathroom Furniture,Furniture
01/04/2018,66520,140,-39.29,Non-Loyalty,Online,Bathroom Furniture,Furniture
01/04/2018,66530,140,-28.35,Non-Loyalty,Online,Bathroom Furniture,Furniture
01/04/2018,66550,140,-18.02,Non-Loyalty,Online,Bathroom Furniture,Furniture
01/04/2018,68050,170,-0.03,Non-Loyalty,Online,Cocktail Glasses,Dining & Entertainment
02/04/2018,61510,150,-60.68,Non-Loyalty,Online,Cocktail Glasses,Dining & Entertainment
02/04/2018,61520,150,-160.80,Non-Loyalty,Online,Cocktail Glasses,Dining & Entertainment
02/04/2018,61530,150,-48.47,Non-Loyalty,Online,Cocktail Glasses,Dining & Entertainment
02/04/2018,61540,150,-3.59,Non-Loyalty,Online,Cocktail Glasses,Dining & Entertainment
02/04/2018,61550,150,-151.14,Non-Loyalty,Online,Cocktail Glasses,Dining & Entertainment
02/04/2018,61560,150,-8.86,Non-Loyalty,Online,Cocktail Glasses,Dining & Entertainment
02/04/2018,61570,150,-161.62,Non-Loyalty,Online,Cocktail Glasses,Dining & Entertainment
02/04/2018,62010,150,-780.64,Non-Loyalty,Online,Cocktail Glasses,Dining & Entertainment
02/04/2018,62020,150,-333.00,Non-Loyalty,Online,Cocktail Glasses,Dining & Entertainment
02/04/2018,62030,150,-0.53,Non-Loyalty,Online,Cocktail Glasses,Dining & Entertainment
02/04/2018,62099,150,21.38,Non-Loyalty,Online,Cocktail Glasses,Dining & Entertainment
02/04/2018,62510,120,-126.83,Non-Loyalty,Online,Cocktail Glasses,Dining & Entertainment
02/04/2018,62520,120,-44.16,Non-Loyalty,Online,Cocktail Glasses,Dining & Entertainment
02/04/2018,62530,120,-21.12,Non-Loyalty,Online,Cocktail Glasses,Dining & Entertainment
02/04/2018,62550,120,-43.18,Non-Loyalty,Online,Cocktail Glasses,Dining & Entertainment
02/04/2018,62560,120,-12.41,Non-Loyalty,Online,Cocktail Glasses,Dining & Entertainment
02/04/2018,63050,150,-2.32,Non-Loyalty,Online,Cocktail Glasses,Dining & Entertainment
02/04/2018,64000,150,252.55,Non-Loyalty,Online,Bedroom Furniture,Furniture
02/04/2018,64010,150,18.06,Non-Loyalty,Online,Bedroom Furniture,Furniture
02/04/2018,64020,150,6.83,Non-Loyalty,Online,Bedroom Furniture,Furniture
02/04/2018,65540,110,-513.77,Non-Loyalty,Online,Bedroom Furniture,Furniture
02/04/2018,65550,110,-55.42,Non-Loyalty,Online,Bedroom Furniture,Furniture
02/04/2018,65570,110,-3.78,Non-Loyalty,Online,Bedroom Furniture,Furniture
02/04/2018,65590,110,-52.00,Non-Loyalty,Online,Bedroom Furniture,Furniture
02/04/2018,65600,110,-259.50,Non-Loyalty,Online,Bedroom Furniture,Furniture
02/04/2018,65610,110,-37.23,Non-Loyalty,Online,Bedroom Furniture,Furniture
02/04/2018,65660,110,-19.52,Non-Loyalty,Online,Bedroom Furniture,Furniture
