TranDate,Account,Dept,SumofAmount,CustomerSegment,Channel,Product,ProductCategory
01/08/2018,61510,150,-249.03,Loyalty,Retail Store,Floral,Decor
01/08/2018,61520,150,-479.94,Loyalty,Retail Store,Floral,Decor
01/08/2018,61530,150,-115.34,Loyalty,Retail Store,Floral,Decor
01/08/2018,61540,150,-105.18,Loyalty,Retail Store,Floral,Decor
01/08/2018,61550,150,-347.61,Loyalty,Retail Store,Floral,Decor
01/08/2018,61560,150,-288.92,Loyalty,Retail Store,Floral,Decor
01/08/2018,61570,150,-390.60,Loyalty,Retail Store,Furniture Cushions,Pillows & Cushions
01/08/2018,62010,150,-1614.34,Loyalty,Retail Store,Furniture Cushions,Pillows & Cushions
01/08/2018,62020,150,-1482.23,Loyalty,Retail Store,Furniture Cushions,Pillows & Cushions
01/08/2018,62030,150,-372.18,Loyalty,Retail Store,Furniture Cushions,Pillows & Cushions
01/08/2018,62099,150,41.50,Loyalty,Retail Store,Furniture Cushions,Pillows & Cushions
01/08/2018,62510,120,-721.02,Loyalty,Retail Store,Furniture Cushions,Pillows & Cushions
01/08/2018,62520,120,-283.34,Loyalty,Retail Store,Furniture Cushions,Pillows & Cushions
01/08/2018,62530,120,-165.97,Loyalty,Retail Store,Furniture Cushions,Pillows & Cushions
01/08/2018,62550,120,-81.38,Loyalty,Retail Store,Furniture Cushions,Pillows & Cushions
01/08/2018,62560,120,-8.25,Loyalty,Retail Store,Furniture Cushions,Pillows & Cushions
01/08/2018,63050,150,-230.81,Loyalty,Retail Store,Furniture Cushions,Pillows & Cushions
01/08/2018,63060,150,-5.55,Loyalty,Retail Store,Furniture Cushions,Pillows & Cushions
01/08/2018,64000,150,534.20,Loyalty,Retail Store,Furniture Cushions,Pillows & Cushions
01/08/2018,64010,150,52.88,Loyalty,Retail Store,Furniture Cushions,Pillows & Cushions
01/08/2018,64020,150,16.93,Loyalty,Retail Store,Furniture Cushions,Pillows & Cushions
01/08/2018,65520,110,-76.69,Loyalty,Retail Store,Blankets,Pillows & Cushions
01/08/2018,65540,110,-980.90,Loyalty,Retail Store,Blankets,Pillows & Cushions
01/08/2018,65550,110,-1648.31,Loyalty,Retail Store,Blankets,Pillows & Cushions
01/08/2018,65570,110,-40.50,Loyalty,Retail Store,Blankets,Pillows & Cushions
01/08/2018,65590,110,-117.15,Loyalty,Retail Store,Blankets,Pillows & Cushions
01/08/2018,65600,110,-115.28,Loyalty,Retail Store,Blankets,Pillows & Cushions
01/08/2018,65610,110,-499.88,Loyalty,Retail Store,Mirrors,Decor
01/08/2018,65620,110,-297.44,Loyalty,Retail Store,Mirrors,Decor
01/08/2018,65650,110,-602.64,Loyalty,Retail Store,Mirrors,Decor
01/08/2018,65660,110,-318.90,Loyalty,Retail Store,Mirrors,Decor
01/08/2018,65690,110,-69.43,Loyalty,Retail Store,Mirrors,Decor
01/08/2018,65700,110,-614.78,Loyalty,Retail Store,Mirrors,Decor
01/08/2018,65710,110,-804.47,Loyalty,Retail Store,Mirrors,Decor
01/08/2018,65730,110,-4.69,Loyalty,Retail Store,Mirrors,Decor
