TranDate,Account,Dept,SumofAmount,CustomerSegment,Channel,Product,ProductCategory
01/02/2018,61510,150,-114.48,Loyalty,Retail Store,Wall Frames,Decor
01/02/2018,61520,150,-193.31,Loyalty,Retail Store,Wall Frames,Decor
01/02/2018,61530,150,-42.57,Loyalty,Retail Store,Wall Frames,Decor
01/02/2018,61540,150,-12.64,Loyalty,Retail Store,Wardrobes,Decor
01/02/2018,61550,150,-212.63,Loyalty,Retail Store,Wardrobes,Decor
01/02/2018,61560,150,-40.52,Loyalty,Retail Store,Wardrobes,Decor
01/02/2018,61570,150,-307.19,Loyalty,Retail Store,Wardrobes,Decor
01/02/2018,62010,150,-722.79,Loyalty,Retail Store,Wardrobes,Decor
01/02/2018,62020,150,-488.63,Loyalty,Retail Store,Wardrobes,Decor
01/02/2018,62030,150,-96.72,Loyalty,Retail Store,Wardrobes,Decor
01/02/2018,62099,150,19.78,Loyalty,Retail Store,Wardrobes,Decor
01/02/2018,62510,120,-215.48,Loyalty,Retail Store,Wardrobes,Decor
01/02/2018,62520,120,-79.55,Loyalty,Retail Store,Wardrobes,Decor
01/02/2018,62530,120,-20.26,Loyalty,Retail Store,Wardrobes,Decor
01/02/2018,62550,120,-36.23,Loyalty,Retail Store,Wardrobes,Decor
01/02/2018,62560,120,-12.69,Loyalty,Retail Store,Wardrobes,Decor
01/02/2018,63050,150,-41.54,Loyalty,Retail Store,Wardrobes,Decor
01/02/2018,63060,150,8.95,Loyalty,Retail Store,Wardrobes,Decor
01/02/2018,64000,150,434.65,Loyalty,Retail Store,Wardrobes,Decor
01/02/2018,64010,150,42.80,Loyalty,Retail Store,Wardrobes,Decor
01/02/2018,64020,150,17.90,Loyalty,Retail Store,Wardrobes,Decor
01/02/2018,65520,110,-9.45,Loyalty,Retail Store,Wardrobes,Decor
01/02/2018,65540,110,-490.51,Loyalty,Retail Store,Wardrobes,Decor
01/02/2018,65550,110,-7.79,Loyalty,Retail Store,Wardrobes,Decor
01/02/2018,65570,110,-4.54,Loyalty,Retail Store,Wardrobes,Decor
01/02/2018,65590,110,-34.93,Loyalty,Retail Store,Wardrobes,Decor
01/02/2018,65600,110,-335.40,Loyalty,Retail Store,Wardrobes,Decor
01/02/2018,65610,110,-142.37,Loyalty,Retail Store,Wine Storage,Dining & Entertainment
01/02/2018,65650,110,16.20,Loyalty,Retail Store,Wine Storage,Dining & Entertainment
01/02/2018,65660,110,-21.34,Loyalty,Retail Store,Wine Storage,Dining & Entertainment
01/02/2018,65690,110,-33.96,Loyalty,Retail Store,Wine Storage,Dining & Entertainment
01/02/2018,65700,110,-175.90,Loyalty,Retail Store,Wine Storage,Dining & Entertainment
01/02/2018,65710,110,-810.23,Loyalty,Retail Store,Wine Storage,Dining & Entertainment
01/02/2018,65730,110,-7.09,Loyalty,Retail Store,Wine Storage,Dining & Entertainment
01/02/2018,65740,110,-578.60,Loyalty,Retail Store,Wine Storage,Dining & Entertainment
01/02/2018,65750,110,-833.66,Loyalty,Retail Store,Wine Storage,Dining & Entertainment
01/02/2018,65760,110,-10.24,Loyalty,Retail Store,Wine Storage,Dining & Entertainment
01/02/2018,66010,130,-4.08,Loyalty,Retail Store,Wine Storage,Dining & Entertainment
01/02/2018,66020,130,-123.72,Loyalty,Retail Store,Wine Storage,Dining & Entertainment
01/02/2018,66030,130,-2.65,Loyalty,Retail Store,Wine Storage,Dining & Entertainment
