TranDate,Account,Dept,SumofAmount,CustomerSegment,Channel,Product,ProductCategory
01/01/2018,61510,150,-43.87,Loyalty,Wholesale,Pillows,Pillows & Cushions
01/01/2018,61520,150,-147.83,Loyalty,Wholesale,Pillows,Pillows & Cushions
01/01/2018,61530,150,-17.75,Loyalty,Wholesale,Collectibles,Decor
01/01/2018,61540,150,-0.91,Loyalty,Wholesale,Collectibles,Decor
01/01/2018,61550,150,-73.13,Loyalty,Wholesale,Collectibles,Decor
01/01/2018,61560,150,-1.92,Loyalty,Wholesale,Collectibles,Decor
01/01/2018,61570,150,-165.45,Loyalty,Wholesale,Collectibles,Decor
01/01/2018,62010,150,-383.39,Loyalty,Wholesale,Collectibles,Decor
01/01/2018,62020,150,-379.38,Loyalty,Wholesale,Collectibles,Decor
01/01/2018,62030,150,-2.78,Loyalty,Wholesale,Collectibles,Decor
01/01/2018,62099,150,16.06,Loyalty,Wholesale,Collectibles,Decor
01/01/2018,62510,120,-171.39,Loyalty,Wholesale,Collectibles,Decor
01/01/2018,62520,120,-61.99,Loyalty,Wholesale,Collectibles,Decor
01/01/2018,62530,120,-24.44,Loyalty,Wholesale,Collectibles,Decor
01/01/2018,62550,120,-25.58,Loyalty,Wholesale,Collectibles,Decor
01/01/2018,62560,120,-3.19,Loyalty,Wholesale,Collectibles,Decor
01/01/2018,63050,150,-12.15,Loyalty,Wholesale,Collectibles,Decor
01/01/2018,63060,150,-1.60,Loyalty,Wholesale,Collectibles,Decor
01/01/2018,64000,150,217.80,Loyalty,Wholesale,Cookware,Dining & Entertainment
01/01/2018,64010,150,24.75,Loyalty,Wholesale,Cookware,Dining & Entertainment
01/01/2018,64020,150,6.91,Loyalty,Wholesale,Cookware,Dining & Entertainment
01/01/2018,65540,110,-148.26,Loyalty,Wholesale,Cookware,Dining & Entertainment
01/01/2018,65550,110,-45.32,Loyalty,Wholesale,Cookware,Dining & Entertainment
01/01/2018,65570,110,-0.89,Loyalty,Wholesale,Cookware,Dining & Entertainment
01/01/2018,65590,110,-18.23,Loyalty,Wholesale,Cookware,Dining & Entertainment
01/01/2018,65600,110,-27.70,Loyalty,Wholesale,Cookware,Dining & Entertainment
01/01/2018,65690,110,-10.88,Loyalty,Wholesale,Cookware,Dining & Entertainment
01/01/2018,65700,110,-13.96,Loyalty,Wholesale,Cookware,Dining & Entertainment
01/01/2018,65710,110,-578.69,Loyalty,Wholesale,Cookware,Dining & Entertainment
01/01/2018,65730,110,-5.06,Loyalty,Wholesale,Cookware,Dining & Entertainment
01/01/2018,65740,110,-421.90,Loyalty,Wholesale,Cookware,Dining & Entertainment
01/01/2018,65750,110,-517.99,Loyalty,Wholesale,Cookware,Dining & Entertainment
01/01/2018,65760,110,-7.31,Loyalty,Wholesale,Cookware,Dining & Entertainment
01/01/2018,65900,170,-20.25,Loyalty,Wholesale,Cookware,Dining & Entertainment
01/01/2018,66010,130,-2.70,Loyalty,Wholesale,Dining Furniture,Furniture
01/01/2018,66020,130,-40.89,Loyalty,Wholesale,Dining Furniture,Furniture
