TranDate,Account,Dept,SumofAmount,CustomerSegment,Channel,Product,ProductCategory
01/07/2018,61510,150,-179.35,Loyalty,Retail Store,Bathroom Furniture,Furniture
01/07/2018,61520,150,-348.72,Loyalty,Retail Store,Bathroom Furniture,Furniture
01/07/2018,61530,150,-49.24,Loyalty,Retail Store,Bathroom Furniture,Furniture
01/07/2018,61540,150,-62.50,Loyalty,Retail Store,Bathroom Furniture,Furniture
01/07/2018,61550,150,-262.01,Loyalty,Retail Store,Bathroom Furniture,Furniture
01/07/2018,61560,150,-166.36,Loyalty,Retail Store,Bathroom Furniture,Furniture
01/07/2018,61570,150,-142.84,Loyalty,Retail Store,Bathroom Furniture,Furniture
01/07/2018,62010,150,-1106.37,Loyalty,Retail Store,Bathroom Furniture,Furniture
01/07/2018,62020,150,-996.65,Loyalty,Retail Store,Bathroom Furniture,Furniture
01/07/2018,62030,150,-231.99,Loyalty,Retail Store,Bathroom Furniture,Furniture
01/07/2018,62099,150,26.84,Loyalty,Retail Store,Bathroom Furniture,Furniture
01/07/2018,62510,120,-540.68,Loyalty,Retail Store,Bathroom Furniture,Furniture
01/07/2018,62520,120,-111.74,Loyalty,Retail Store,Bathroom Furniture,Furniture
01/07/2018,62530,120,-102.88,Loyalty,Retail Store,Bathroom Furniture,Furniture
01/07/2018,62550,120,-49.83,Loyalty,Retail Store,Cocktail Glasses,Dining & Entertainment
01/07/2018,62560,120,-11.83,Loyalty,Retail Store,Cocktail Glasses,Dining & Entertainment
01/07/2018,63050,150,-96.35,Loyalty,Retail Store,Cocktail Glasses,Dining & Entertainment
01/07/2018,63060,150,-0.89,Loyalty,Retail Store,Cocktail Glasses,Dining & Entertainment
01/07/2018,64000,150,223.56,Loyalty,Retail Store,Cocktail Glasses,Dining & Entertainment
01/07/2018,64010,150,57.63,Loyalty,Retail Store,Cocktail Glasses,Dining & Entertainment
01/07/2018,64020,150,22.07,Loyalty,Retail Store,Cocktail Glasses,Dining & Entertainment
01/07/2018,65520,110,-61.05,Loyalty,Retail Store,Cocktail Glasses,Dining & Entertainment
01/07/2018,65540,110,-583.25,Loyalty,Retail Store,Cocktail Glasses,Dining & Entertainment
01/07/2018,65550,110,-879.96,Loyalty,Retail Store,Cocktail Glasses,Dining & Entertainment
01/07/2018,65570,110,-15.60,Loyalty,Retail Store,Cocktail Glasses,Dining & Entertainment
01/07/2018,65590,110,-121.98,Loyalty,Retail Store,Cocktail Glasses,Dining & Entertainment
01/07/2018,65600,110,-302.76,Loyalty,Retail Store,Cocktail Glasses,Dining & Entertainment
01/07/2018,65610,110,-337.84,Loyalty,Retail Store,Cocktail Glasses,Dining & Entertainment
01/07/2018,65620,110,-183.00,Loyalty,Retail Store,Cocktail Glasses,Dining & Entertainment
01/07/2018,65650,110,-440.15,Loyalty,Retail Store,Cocktail Glasses,Dining & Entertainment
01/07/2018,65660,110,-216.78,Loyalty,Retail Store,Cocktail Glasses,Dining & Entertainment
01/07/2018,65690,110,-98.53,Loyalty,Retail Store,Cocktail Glasses,Dining & Entertainment
01/07/2018,65700,110,-454.23,Loyalty,Retail Store,Cocktail Glasses,Dining & Entertainment
01/07/2018,65710,110,-622.97,Loyalty,Retail Store,Cocktail Glasses,Dining & Entertainment
01/07/2018,65730,110,-3.75,Loyalty,Retail Store,Cocktail Glasses,Dining & Entertainment
01/07/2018,65740,110,-448.01,Loyalty,Retail Store,Cocktail Glasses,Dining & Entertainment
01/07/2018,65750,110,-602.38,Loyalty,Retail Store,Cocktail Glasses,Dining & Entertainment
01/07/2018,65760,110,-3.25,Loyalty,Retail Store,Cocktail Glasses,Dining & Entertainment
01/07/2018,66010,130,-99.01,Loyalty,Retail Store,Bedroom Furniture,Furniture
01/07/2018,66020,130,-617.36,Loyalty,Retail Store,Bedroom Furniture,Furniture
01/07/2018,66030,130,-6.00,Loyalty,Retail Store,Bedroom Furniture,Furniture
01/07/2018,66040,130,-75.80,Loyalty,Retail Store,Bedroom Furniture,Furniture
01/07/2018,66050,130,-46.57,Loyalty,Retail Store,Bedroom Furniture,Furniture
01/07/2018,66070,130,-14.42,Loyalty,Retail Store,Bedroom Furniture,Furniture
01/07/2018,66080,130,-11.25,Loyalty,Retail Store,Bedroom Furniture,Furniture
01/07/2018,66090,130,-35.10,Loyalty,Retail Store,Bedroom Furniture,Furniture
01/07/2018,66100,130,-5.88,Loyalty,Retail Store,Bedroom Furniture,Furniture
01/07/2018,66110,130,-0.62,Loyalty,Retail Store,Bedroom Furniture,Furniture
01/07/2018,66120,130,-8.56,Loyalty,Retail Store,Bedroom Furniture,Furniture
01/07/2018,66130,130,-73.61,Loyalty,Retail Store,Bedroom Furniture,Furniture
01/07/2018,66510,140,-101.71,Loyalty,Retail Store,Bedroom Furniture,Furniture
01/07/2018,66520,140,-37.68,Loyalty,Retail Store,Bedroom Furniture,Furniture
01/07/2018,66530,140,-12.60,Loyalty,Retail Store,Bedroom Furniture,Furniture
01/07/2018,66550,140,-113.94,Loyalty,Retail Store,Bedroom Furniture,Furniture
01/07/2018,68050,170,-3.22,Loyalty,Retail Store,Bedroom Furniture,Furniture
02/07/2018,61510,150,-164.41,Loyalty,Retail Store,Bedroom Furniture,Furniture
02/07/2018,61520,150,-319.66,Loyalty,Retail Store,Bedroom Furniture,Furniture
02/07/2018,61530,150,-45.13,Loyalty,Retail Store,Bedroom Furniture,Furniture
02/07/2018,61540,150,-57.29,Loyalty,Retail Store,Bedroom Furniture,Furniture
02/07/2018,61550,150,-240.18,Loyalty,Retail Store,Bedroom Furniture,Furniture
02/07/2018,61560,150,-152.50,Loyalty,Retail Store,Bedroom Furniture,Furniture
02/07/2018,61570,150,-130.93,Loyalty,Retail Store,Bedroom Furniture,Furniture
02/07/2018,62010,150,-1014.18,Loyalty,Retail Store,Home Fragrances,Decor
02/07/2018,62020,150,-913.59,Loyalty,Retail Store,Home Fragrances,Decor
02/07/2018,62030,150,-212.66,Loyalty,Retail Store,Home Fragrances,Decor
02/07/2018,62099,150,24.60,Loyalty,Retail Store,Home Fragrances,Decor
02/07/2018,62510,120,-495.63,Loyalty,Retail Store,Home Fragrances,Decor
02/07/2018,62520,120,-102.43,Loyalty,Retail Store,Home Fragrances,Decor
02/07/2018,62530,120,-94.31,Loyalty,Retail Store,Home Fragrances,Decor
02/07/2018,62550,120,-45.68,Loyalty,Retail Store,Home Fragrances,Decor
02/07/2018,62560,120,-10.84,Loyalty,Retail Store,Home Fragrances,Decor
02/07/2018,63050,150,-88.32,Loyalty,Retail Store,Home Fragrances,Decor
02/07/2018,63060,150,-0.81,Loyalty,Retail Store,Home Fragrances,Decor
02/07/2018,64000,150,204.93,Loyalty,Retail Store,Home Fragrances,Decor
02/07/2018,64010,150,52.83,Loyalty,Retail Store,Home Fragrances,Decor
02/07/2018,64020,150,20.24,Loyalty,Retail Store,Home Fragrances,Decor
02/07/2018,65520,110,-55.96,Loyalty,Retail Store,Home Fragrances,Decor
02/07/2018,65540,110,-534.64,Loyalty,Retail Store,Home Fragrances,Decor
02/07/2018,65550,110,-806.63,Loyalty,Retail Store,Home Fragrances,Decor
02/07/2018,65570,110,-14.30,Loyalty,Retail Store,Home Fragrances,Decor
02/07/2018,65590,110,-111.82,Loyalty,Retail Store,Home Fragrances,Decor
02/07/2018,65600,110,-277.53,Loyalty,Retail Store,Home Fragrances,Decor
02/07/2018,65610,110,-309.69,Loyalty,Retail Store,Home Fragrances,Decor
02/07/2018,65620,110,-167.75,Loyalty,Retail Store,Home Fragrances,Decor
02/07/2018,65650,110,-403.47,Loyalty,Retail Store,Home Fragrances,Decor
02/07/2018,65660,110,-198.72,Loyalty,Retail Store,Home Fragrances,Decor
02/07/2018,65690,110,-90.32,Loyalty,Retail Store,Bean Bags,Pillows & Cushions
02/07/2018,65700,110,-416.38,Loyalty,Retail Store,Bean Bags,Pillows & Cushions
02/07/2018,65710,110,-571.05,Loyalty,Retail Store,Bean Bags,Pillows & Cushions
02/07/2018,65730,110,-3.44,Loyalty,Retail Store,Bean Bags,Pillows & Cushions
02/07/2018,65740,110,-410.68,Loyalty,Retail Store,Bean Bags,Pillows & Cushions
02/07/2018,65750,110,-552.18,Loyalty,Retail Store,Bean Bags,Pillows & Cushions
02/07/2018,65760,110,-2.98,Loyalty,Retail Store,Bean Bags,Pillows & Cushions
02/07/2018,66010,130,-90.76,Loyalty,Retail Store,Bean Bags,Pillows & Cushions
02/07/2018,66020,130,-565.91,Loyalty,Retail Store,Bean Bags,Pillows & Cushions
02/07/2018,66030,130,-5.50,Loyalty,Retail Store,Bean Bags,Pillows & Cushions
02/07/2018,66040,130,-69.48,Loyalty,Retail Store,Bean Bags,Pillows & Cushions
02/07/2018,66050,130,-42.69,Loyalty,Retail Store,Bean Bags,Pillows & Cushions
02/07/2018,66070,130,-13.22,Loyalty,Retail Store,Bean Bags,Pillows & Cushions
02/07/2018,66080,130,-10.31,Loyalty,Retail Store,Bean Bags,Pillows & Cushions
02/07/2018,66090,130,-32.18,Loyalty,Retail Store,Clocks,Decor
02/07/2018,66100,130,-5.39,Loyalty,Retail Store,Clocks,Decor
02/07/2018,66110,130,-0.57,Loyalty,Retail Store,Clocks,Decor
02/07/2018,66120,130,-7.84,Loyalty,Retail Store,Clocks,Decor
02/07/2018,66130,130,-67.48,Loyalty,Retail Store,Clocks,Decor
02/07/2018,66510,140,-93.24,Loyalty,Retail Store,Clocks,Decor
