TranDate,Account,Dept,SumofAmount,CustomerSegment,Channel,Product,ProductCategory
01/06/2018,61510,150,-143.48,Loyalty,Wholesale,Wine Storage,Dining & Entertainment
01/06/2018,61520,150,-278.97,Loyalty,Wholesale,Wine Storage,Dining & Entertainment
01/06/2018,61530,150,-39.39,Loyalty,Wholesale,Wine Storage,Dining & Entertainment
01/06/2018,61540,150,-50.00,Loyalty,Wholesale,Wreaths,Decor
01/06/2018,61550,150,-209.61,Loyalty,Wholesale,Wreaths,Decor
01/06/2018,61560,150,-133.09,Loyalty,Wholesale,Wreaths,Decor
01/06/2018,61570,150,-114.27,Loyalty,Wholesale,Wreaths,Decor
01/06/2018,62010,150,-885.10,Loyalty,Wholesale,Wreaths,Decor
01/06/2018,62020,150,-797.32,Loyalty,Wholesale,Wreaths,Decor
01/06/2018,62030,150,-185.60,Non-Loyalty,Online,Accessories,Decor
01/06/2018,62099,150,21.47,Non-Loyalty,Online,Accessories,Decor
01/06/2018,62510,120,-432.55,Non-Loyalty,Online,Accessories,Decor
01/06/2018,62520,120,-89.39,Non-Loyalty,Online,Accessories,Decor
01/06/2018,62530,120,-82.31,Non-Loyalty,Online,Accessories,Decor
01/06/2018,62550,120,-39.86,Non-Loyalty,Online,Accessories,Decor
01/06/2018,62560,120,-9.46,Non-Loyalty,Online,Accessories,Decor
01/06/2018,63050,150,-77.08,Non-Loyalty,Online,Accessories,Decor
01/06/2018,63060,150,-0.71,Non-Loyalty,Online,Accessories,Decor
01/06/2018,64000,150,178.84,Non-Loyalty,Online,Accessories,Decor
01/06/2018,64010,150,46.10,Non-Loyalty,Online,Accessories,Decor
01/06/2018,64020,150,17.66,Non-Loyalty,Online,Accessories,Decor
01/06/2018,65520,110,48.84,Non-Loyalty,Online,Accessories,Decor
01/06/2018,65540,110,466.60,Non-Loyalty,Online,Accessories,Decor
01/06/2018,65550,110,703.97,Non-Loyalty,Online,Accessories,Decor
01/06/2018,65570,110,12.48,Non-Loyalty,Online,Bakeware,Dining & Entertainment
01/06/2018,65590,110,97.59,Non-Loyalty,Online,Bakeware,Dining & Entertainment
01/06/2018,65600,110,242.21,Non-Loyalty,Online,Bakeware,Dining & Entertainment
01/06/2018,65610,110,270.27,Non-Loyalty,Online,Bakeware,Dining & Entertainment
01/06/2018,65620,110,146.40,Non-Loyalty,Online,Bakeware,Dining & Entertainment
01/06/2018,65650,110,352.12,Non-Loyalty,Online,Bakeware,Dining & Entertainment
01/06/2018,65660,110,173.42,Non-Loyalty,Online,Bakeware,Dining & Entertainment
01/06/2018,65690,110,78.83,Non-Loyalty,Online,Bakeware,Dining & Entertainment
01/06/2018,65700,110,363.39,Non-Loyalty,Online,Bakeware,Dining & Entertainment
01/06/2018,65710,110,498.37,Non-Loyalty,Online,Bakeware,Dining & Entertainment
01/06/2018,65730,110,3.00,Non-Loyalty,Online,Bakeware,Dining & Entertainment
01/06/2018,65740,110,358.41,Non-Loyalty,Online,Bakeware,Dining & Entertainment
01/06/2018,65750,110,481.91,Non-Loyalty,Online,Bakeware,Dining & Entertainment
01/06/2018,65760,110,2.60,Non-Loyalty,Online,Bakeware,Dining & Entertainment
01/06/2018,66010,130,0.00,Non-Loyalty,Online,Bakeware,Dining & Entertainment
01/06/2018,66020,130,0.00,Non-Loyalty,Online,Bar Tools,Dining & Entertainment
01/06/2018,66030,130,0.00,Non-Loyalty,Online,Bar Tools,Dining & Entertainment
01/06/2018,66040,130,0.00,Non-Loyalty,Online,Bar Tools,Dining & Entertainment
01/06/2018,66050,130,0.00,Non-Loyalty,Online,Bar Tools,Dining & Entertainment
01/06/2018,66070,130,0.00,Non-Loyalty,Online,Bar Tools,Dining & Entertainment
01/06/2018,66080,130,0.00,Non-Loyalty,Online,Bar Tools,Dining & Entertainment
01/06/2018,66090,130,0.00,Non-Loyalty,Online,Bar Tools,Dining & Entertainment
01/06/2018,66100,130,0.00,Non-Loyalty,Online,Bar Tools,Dining & Entertainment
01/06/2018,66110,130,0.00,Non-Loyalty,Online,Bar Tools,Dining & Entertainment
01/06/2018,66120,130,0.00,Non-Loyalty,Online,Bar Tools,Dining & Entertainment
01/06/2018,66130,130,0.00,Non-Loyalty,Online,Bar Tools,Dining & Entertainment
01/06/2018,66510,140,0.00,Non-Loyalty,Online,Bar Tools,Dining & Entertainment
01/06/2018,66520,140,0.00,Non-Loyalty,Online,Bar Tools,Dining & Entertainment
01/06/2018,66530,140,0.00,Non-Loyalty,Online,Bar Tools,Dining & Entertainment
01/06/2018,66550,140,0.00,Non-Loyalty,Online,Bar Tools,Dining & Entertainment
01/06/2018,68050,170,0.00,Non-Loyalty,Online,Bathroom Furniture,Furniture
02/06/2018,61510,150,0.00,Non-Loyalty,Online,Bathroom Furniture,Furniture
02/06/2018,61520,150,0.00,Non-Loyalty,Online,Bathroom Furniture,Furniture
02/06/2018,61530,150,0.00,Non-Loyalty,Online,Bathroom Furniture,Furniture
02/06/2018,61540,150,0.00,Non-Loyalty,Online,Bathroom Furniture,Furniture
02/06/2018,61550,150,0.00,Non-Loyalty,Online,Bathroom Furniture,Furniture
02/06/2018,61560,150,0.00,Non-Loyalty,Online,Bathroom Furniture,Furniture
02/06/2018,61570,150,0.00,Non-Loyalty,Online,Bathroom Furniture,Furniture
02/06/2018,62010,150,0.00,Non-Loyalty,Online,Bathroom Furniture,Furniture
02/06/2018,62020,150,0.00,Non-Loyalty,Online,Bathroom Furniture,Furniture
02/06/2018,62030,150,0.00,Non-Loyalty,Online,Bathroom Furniture,Furniture
02/06/2018,62099,150,0.00,Non-Loyalty,Online,Bathroom Furniture,Furniture
02/06/2018,62510,120,0.00,Non-Loyalty,Online,Bathroom Furniture,Furniture
02/06/2018,62520,120,0.00,Non-Loyalty,Online,Bathroom Furniture,Furniture
02/06/2018,62530,120,0.00,Non-Loyalty,Online,Bathroom Furniture,Furniture
02/06/2018,62550,120,0.00,Non-Loyalty,Online,Cocktail Glasses,Dining & Entertainment
02/06/2018,62560,120,0.00,Non-Loyalty,Online,Cocktail Glasses,Dining & Entertainment
02/06/2018,63050,150,0.00,Non-Loyalty,Online,Cocktail Glasses,Dining & Entertainment
02/06/2018,63060,150,0.00,Non-Loyalty,Online,Cocktail Glasses,Dining & Entertainment
02/06/2018,64000,150,0.00,Non-Loyalty,Online,Cocktail Glasses,Dining & Entertainment
02/06/2018,64010,150,0.00,Non-Loyalty,Online,Cocktail Glasses,Dining & Entertainment
02/06/2018,64020,150,0.00,Non-Loyalty,Online,Cocktail Glasses,Dining & Entertainment
02/06/2018,65520,110,0.00,Non-Loyalty,Online,Cocktail Glasses,Dining & Entertainment
02/06/2018,65540,110,0.00,Non-Loyalty,Online,Cocktail Glasses,Dining & Entertainment
02/06/2018,65550,110,0.00,Non-Loyalty,Online,Cocktail Glasses,Dining & Entertainment
02/06/2018,65570,110,0.00,Non-Loyalty,Online,Cocktail Glasses,Dining & Entertainment
02/06/2018,65590,110,0.00,Non-Loyalty,Online,Cocktail Glasses,Dining & Entertainment
02/06/2018,65600,110,0.00,Non-Loyalty,Online,Cocktail Glasses,Dining & Entertainment
02/06/2018,65610,110,0.00,Non-Loyalty,Online,Cocktail Glasses,Dining & Entertainment
02/06/2018,65620,110,0.00,Non-Loyalty,Online,Cocktail Glasses,Dining & Entertainment
02/06/2018,65650,110,0.00,Non-Loyalty,Online,Bedroom Furniture,Furniture
02/06/2018,65660,110,0.00,Non-Loyalty,Online,Bedroom Furniture,Furniture
02/06/2018,65690,110,0.00,Non-Loyalty,Online,Bedroom Furniture,Furniture
02/06/2018,65700,110,0.00,Non-Loyalty,Online,Bedroom Furniture,Furniture
02/06/2018,65710,110,0.00,Non-Loyalty,Online,Bedroom Furniture,Furniture
02/06/2018,65730,110,0.00,Non-Loyalty,Online,Bedroom Furniture,Furniture
