TranDate,Account,Dept,SumofAmount,CustomerSegment,Channel,Product,ProductCategory
01/03/2018,61510,150,-89.22,Loyalty,Retail Store,Dining Furniture,Furniture
01/03/2018,61520,150,-196.33,Loyalty,Retail Store,Dining Furniture,Furniture
01/03/2018,61530,150,-45.36,Loyalty,Retail Store,Dining Furniture,Furniture
01/03/2018,61540,150,-36.97,Loyalty,Retail Store,Dining Furniture,Furniture
01/03/2018,61550,150,-121.03,Loyalty,Retail Store,Dining Furniture,Furniture
01/03/2018,61560,150,-119.46,Loyalty,Retail Store,Dining Furniture,Furniture
01/03/2018,61570,150,-183.28,Loyalty,Retail Store,Dining Furniture,Furniture
01/03/2018,62010,150,-560.06,Loyalty,Retail Store,Dining Furniture,Furniture
01/03/2018,62020,150,-564.33,Loyalty,Retail Store,Dinnerware,Dining & Entertainment
01/03/2018,62030,150,-121.16,Loyalty,Retail Store,Dinnerware,Dining & Entertainment
01/03/2018,62099,150,12.87,Loyalty,Retail Store,Dinnerware,Dining & Entertainment
01/03/2018,62510,120,-240.51,Loyalty,Retail Store,Dinnerware,Dining & Entertainment
01/03/2018,62520,120,-107.54,Loyalty,Retail Store,Dinnerware,Dining & Entertainment
01/03/2018,62530,120,-59.44,Loyalty,Retail Store,Dinnerware,Dining & Entertainment
01/03/2018,62550,120,-20.77,Loyalty,Retail Store,Dinnerware,Dining & Entertainment
01/03/2018,62560,120,-8.76,Loyalty,Retail Store,Dinnerware,Dining & Entertainment
01/03/2018,63050,150,-39.62,Loyalty,Retail Store,Dinnerware,Dining & Entertainment
01/03/2018,63060,150,-1.01,Loyalty,Retail Store,Dinnerware,Dining & Entertainment
01/03/2018,64000,150,249.75,Loyalty,Retail Store,Dinnerware,Dining & Entertainment
01/03/2018,64010,150,24.97,Loyalty,Retail Store,Dinnerware,Dining & Entertainment
01/03/2018,64020,150,3.41,Loyalty,Retail Store,Dinnerware,Dining & Entertainment
01/03/2018,65520,110,-18.13,Loyalty,Retail Store,Dinnerware,Dining & Entertainment
01/03/2018,65540,110,-197.00,Loyalty,Retail Store,Dinnerware,Dining & Entertainment
01/03/2018,65550,110,-558.17,Loyalty,Retail Store,Dinnerware,Dining & Entertainment
01/03/2018,65570,110,-2.74,Loyalty,Retail Store,Dinnerware,Dining & Entertainment
01/03/2018,65590,110,-47.20,Loyalty,Retail Store,Dinnerware,Dining & Entertainment
01/03/2018,65600,110,-81.17,Loyalty,Retail Store,Dinnerware,Dining & Entertainment
01/03/2018,65610,110,-214.23,Loyalty,Retail Store,Dinnerware,Dining & Entertainment
01/03/2018,65620,110,-27.09,Loyalty,Retail Store,Dinnerware,Dining & Entertainment
01/03/2018,65650,110,-378.50,Loyalty,Retail Store,Dinnerware,Dining & Entertainment
