TranDate,Account,Dept,SumofAmount,CustomerSegment,Channel,Product,ProductCategory
01/05/2018,61510,150,-97.47,Loyalty,Wholesale,Stemware,Dining & Entertainment
01/05/2018,61520,150,-309.06,Loyalty,Wholesale,Stemware,Dining & Entertainment
01/05/2018,61530,150,-73.29,Loyalty,Wholesale,Stemware,Dining & Entertainment
01/05/2018,61540,150,-20.38,Loyalty,Wholesale,Stemware,Dining & Entertainment
01/05/2018,61550,150,-221.70,Loyalty,Wholesale,Stemware,Dining & Entertainment
01/05/2018,61560,150,-88.41,Loyalty,Wholesale,Stemware,Dining & Entertainment
01/05/2018,61570,150,-187.69,Loyalty,Wholesale,Stemware,Dining & Entertainment
01/05/2018,62010,150,-995.66,Loyalty,Wholesale,Stemware,Dining & Entertainment
01/05/2018,62020,150,-1102.56,Loyalty,Wholesale,Stemware,Dining & Entertainment
01/05/2018,62030,150,-127.15,Loyalty,Wholesale,Stemware,Dining & Entertainment
01/05/2018,62099,150,35.47,Loyalty,Wholesale,Stemware,Dining & Entertainment
01/05/2018,62510,120,-219.10,Loyalty,Wholesale,Table Lamps,Lighting
01/05/2018,62520,120,-169.33,Loyalty,Wholesale,Table Lamps,Lighting
01/05/2018,62530,120,-50.83,Loyalty,Wholesale,Table Lamps,Lighting
01/05/2018,62550,120,-48.94,Loyalty,Wholesale,Table Lamps,Lighting
01/05/2018,62560,120,-14.73,Loyalty,Wholesale,Table Lamps,Lighting
01/05/2018,63050,150,-10.09,Loyalty,Wholesale,Table Lamps,Lighting
01/05/2018,63060,150,-1.32,Loyalty,Wholesale,Table Linens,Dining & Entertainment
01/05/2018,64000,150,292.95,Loyalty,Wholesale,Table Linens,Dining & Entertainment
01/05/2018,64010,150,49.72,Loyalty,Wholesale,Table Linens,Dining & Entertainment
01/05/2018,64020,150,8.25,Loyalty,Wholesale,Table Linens,Dining & Entertainment
01/05/2018,65520,110,-8.02,Loyalty,Wholesale,Table Linens,Dining & Entertainment
01/05/2018,65540,110,-195.20,Loyalty,Wholesale,Table Linens,Dining & Entertainment
01/05/2018,65550,110,-110.75,Loyalty,Wholesale,Table Linens,Dining & Entertainment
01/05/2018,65570,110,-1.78,Loyalty,Wholesale,Table Linens,Dining & Entertainment
01/05/2018,65590,110,-59.83,Loyalty,Wholesale,Table Linens,Dining & Entertainment
01/05/2018,65600,110,-675.65,Loyalty,Wholesale,Table Linens,Dining & Entertainment
01/05/2018,65610,110,-210.72,Loyalty,Wholesale,Table Linens,Dining & Entertainment
01/05/2018,65620,110,-36.89,Loyalty,Wholesale,Table Linens,Dining & Entertainment
01/05/2018,65650,110,-369.34,Loyalty,Wholesale,Table Linens,Dining & Entertainment
01/05/2018,65660,110,-191.50,Loyalty,Wholesale,Table Linens,Dining & Entertainment
01/05/2018,65690,110,-35.62,Loyalty,Wholesale,Table Linens,Dining & Entertainment
01/05/2018,65700,110,-253.59,Loyalty,Wholesale,Table Linens,Dining & Entertainment
01/05/2018,65710,110,-679.84,Loyalty,Wholesale,Table Linens,Dining & Entertainment
01/05/2018,65730,110,-9.74,Loyalty,Wholesale,Table Linens,Dining & Entertainment
01/05/2018,65740,110,-664.37,Loyalty,Wholesale,Table Linens,Dining & Entertainment
01/05/2018,65750,110,-774.36,Loyalty,Wholesale,Table Linens,Dining & Entertainment
01/05/2018,65760,110,-4.83,Loyalty,Wholesale,Table Linens,Dining & Entertainment
01/05/2018,66010,130,-20.88,Loyalty,Wholesale,Table Linens,Dining & Entertainment
01/05/2018,66020,130,-430.06,Loyalty,Wholesale,Table Linens,Dining & Entertainment
01/05/2018,66030,130,-4.90,Loyalty,Wholesale,Table Linens,Dining & Entertainment
01/05/2018,66040,130,-20.72,Loyalty,Wholesale,Vanities,Furniture
