TranDate,Account,Dept,SumofAmount,CustomerSegment,Channel,Product,ProductCategory
01/09/2018,61510,150,-184.01,Loyalty,Wholesale,Outdoor Decor,Decor
01/09/2018,61520,150,-368.34,Loyalty,Wholesale,Outdoor Decor,Decor
01/09/2018,61530,150,-80.71,Loyalty,Wholesale,Outdoor Decor,Decor
01/09/2018,61540,150,-60.67,Loyalty,Wholesale,Outdoor Decor,Decor
01/09/2018,61550,150,-260.55,Loyalty,Wholesale,Outdoor Decor,Decor
01/09/2018,61560,150,-161.33,Loyalty,Wholesale,Outdoor Furniture,Furniture
01/09/2018,61570,150,-287.32,Loyalty,Wholesale,Outdoor Furniture,Furniture
01/09/2018,62010,150,-1220.00,Loyalty,Wholesale,Outdoor Furniture,Furniture
01/09/2018,62020,150,-993.41,Loyalty,Wholesale,Outdoor Furniture,Furniture
01/09/2018,62030,150,-259.38,Loyalty,Wholesale,Outdoor Furniture,Furniture
01/09/2018,62099,150,30.44,Loyalty,Wholesale,Outdoor Furniture,Furniture
01/09/2018,62510,120,-557.49,Loyalty,Wholesale,Outdoor Furniture,Furniture
01/09/2018,62520,120,-129.42,Loyalty,Wholesale,Outdoor Furniture,Furniture
01/09/2018,62530,120,-106.62,Loyalty,Wholesale,Outdoor Furniture,Furniture
01/09/2018,62550,120,-56.78,Loyalty,Wholesale,Outdoor Furniture,Furniture
01/09/2018,62560,120,-6.65,Loyalty,Wholesale,Outdoor Furniture,Furniture
01/09/2018,63050,150,-188.32,Loyalty,Wholesale,Outdoor Furniture,Furniture
01/09/2018,64000,150,363.47,Loyalty,Wholesale,Outdoor Furniture,Furniture
01/09/2018,64010,150,42.45,Loyalty,Wholesale,Outdoor Furniture,Furniture
01/09/2018,64020,150,10.47,Loyalty,Wholesale,Outdoor Furniture,Furniture
01/09/2018,65520,110,-57.48,Loyalty,Wholesale,Outdoor Furniture,Furniture
01/09/2018,65540,110,-599.88,Loyalty,Wholesale,Outdoor Furniture,Furniture
01/09/2018,65550,110,-1382.75,Loyalty,Wholesale,Outdoor Furniture,Furniture
01/09/2018,65570,110,-62.59,Loyalty,Wholesale,Outdoor Furniture,Furniture
01/09/2018,65590,110,-83.09,Loyalty,Wholesale,Outdoor Furniture,Furniture
01/09/2018,65600,110,-41.47,Loyalty,Wholesale,Outdoor Furniture,Furniture
01/09/2018,65610,110,-436.36,Loyalty,Wholesale,Outdoor Furniture,Furniture
01/09/2018,65620,110,-190.22,Loyalty,Wholesale,Outdoor Furniture,Furniture
01/09/2018,65630,110,3.32,Loyalty,Wholesale,Outdoor Furniture,Furniture
01/09/2018,65650,110,-141.96,Loyalty,Wholesale,Pendants,Lighting
01/09/2018,65660,110,-137.39,Loyalty,Wholesale,Pendants,Lighting
01/09/2018,65690,110,-44.62,Loyalty,Wholesale,Pendants,Lighting
01/09/2018,65700,110,-479.65,Loyalty,Wholesale,Pendants,Lighting
01/09/2018,65710,110,-576.16,Loyalty,Wholesale,Pendants,Lighting
01/09/2018,65730,110,-13.75,Loyalty,Wholesale,Pendants,Lighting
01/09/2018,65740,110,-390.12,Loyalty,Wholesale,Candles,Decor
01/09/2018,65750,110,-579.32,Loyalty,Wholesale,Candles,Decor
01/09/2018,65760,110,-7.45,Loyalty,Wholesale,Candles,Decor
01/09/2018,66010,130,-102.28,Loyalty,Wholesale,Candles,Decor
01/09/2018,66020,130,-670.07,Loyalty,Wholesale,Candles,Decor
01/09/2018,66030,130,-9.63,Loyalty,Wholesale,Candles,Decor
01/09/2018,66040,130,-61.09,Loyalty,Wholesale,Candles,Decor
01/09/2018,66050,130,-42.68,Loyalty,Wholesale,Candles,Decor
01/09/2018,66070,130,-20.24,Loyalty,Wholesale,Candles,Decor
01/09/2018,66080,130,-9.63,Loyalty,Wholesale,Candles,Decor
01/09/2018,66090,130,-49.50,Loyalty,Wholesale,Candles,Decor
01/09/2018,66100,130,-5.38,Loyalty,Wholesale,Candles,Decor
01/09/2018,66110,130,-0.57,Loyalty,Wholesale,Candles,Decor
01/09/2018,66120,130,-2.99,Loyalty,Wholesale,Candles,Decor
01/09/2018,66130,130,-69.03,Loyalty,Wholesale,Candles,Decor
01/09/2018,66510,140,-98.54,Loyalty,Wholesale,Candles,Decor
01/09/2018,66520,140,-22.06,Loyalty,Wholesale,Candles,Decor
01/09/2018,66530,140,-8.94,Loyalty,Wholesale,Candles,Decor
01/09/2018,66550,140,-43.89,Loyalty,Wholesale,Candles,Decor
01/09/2018,68050,170,-0.98,Loyalty,Wholesale,Candles,Decor
01/09/2018,68060,170,-96.25,Loyalty,Wholesale,Candles,Decor
02/09/2018,61510,150,-175.64,Loyalty,Wholesale,Candles,Decor
02/09/2018,61520,150,-351.59,Loyalty,Wholesale,Candles,Decor
02/09/2018,61530,150,-77.04,Loyalty,Wholesale,Candles,Decor
02/09/2018,61540,150,-57.91,Loyalty,Wholesale,Platters,Dining & Entertainment
02/09/2018,61550,150,-248.71,Loyalty,Wholesale,Platters,Dining & Entertainment
02/09/2018,61560,150,-153.99,Loyalty,Wholesale,Platters,Dining & Entertainment
02/09/2018,61570,150,-274.26,Loyalty,Wholesale,Platters,Dining & Entertainment
02/09/2018,62010,150,-1164.55,Loyalty,Wholesale,Platters,Dining & Entertainment
02/09/2018,62020,150,-948.25,Loyalty,Wholesale,Platters,Dining & Entertainment
02/09/2018,62030,150,-247.59,Loyalty,Wholesale,Platters,Dining & Entertainment
02/09/2018,62099,150,29.06,Loyalty,Wholesale,Platters,Dining & Entertainment
02/09/2018,62510,120,-532.15,Loyalty,Wholesale,Platters,Dining & Entertainment
02/09/2018,62520,120,-123.53,Loyalty,Wholesale,Platters,Dining & Entertainment
02/09/2018,62530,120,-101.77,Loyalty,Wholesale,Platters,Dining & Entertainment
02/09/2018,62550,120,-54.20,Loyalty,Wholesale,Platters,Dining & Entertainment
02/09/2018,62560,120,-6.35,Loyalty,Wholesale,Platters,Dining & Entertainment
02/09/2018,63050,150,-179.76,Loyalty,Wholesale,Platters,Dining & Entertainment
02/09/2018,64000,150,346.95,Loyalty,Wholesale,Platters,Dining & Entertainment
02/09/2018,64010,150,40.52,Loyalty,Wholesale,Platters,Dining & Entertainment
02/09/2018,64020,150,9.99,Loyalty,Wholesale,Platters,Dining & Entertainment
02/09/2018,65520,110,-54.86,Loyalty,Wholesale,Platters,Dining & Entertainment
02/09/2018,65540,110,-572.62,Loyalty,Wholesale,Platters,Dining & Entertainment
02/09/2018,65550,110,-1319.90,Loyalty,Wholesale,Platters,Dining & Entertainment
02/09/2018,65570,110,-59.75,Loyalty,Wholesale,Platters,Dining & Entertainment
02/09/2018,65590,110,-79.31,Loyalty,Wholesale,Platters,Dining & Entertainment
02/09/2018,65600,110,-39.59,Loyalty,Wholesale,Platters,Dining & Entertainment
02/09/2018,65610,110,-416.52,Loyalty,Wholesale,Platters,Dining & Entertainment
02/09/2018,65620,110,-181.57,Loyalty,Wholesale,Rugs,Decor
02/09/2018,65630,110,3.17,Loyalty,Wholesale,Rugs,Decor
02/09/2018,65650,110,-135.51,Loyalty,Wholesale,Rugs,Decor
02/09/2018,65660,110,-131.15,Loyalty,Wholesale,Rugs,Decor
02/09/2018,65690,110,-42.59,Loyalty,Wholesale,Rugs,Decor
02/09/2018,65700,110,-457.85,Loyalty,Wholesale,Rugs,Decor
02/09/2018,65710,110,-549.97,Loyalty,Wholesale,Rugs,Decor
02/09/2018,65730,110,-13.13,Loyalty,Wholesale,Rugs,Decor
02/09/2018,65740,110,-372.39,Loyalty,Wholesale,Rugs,Decor
02/09/2018,65750,110,-552.99,Loyalty,Wholesale,Rugs,Decor
02/09/2018,65760,110,-7.11,Loyalty,Wholesale,Rugs,Decor
02/09/2018,66010,130,-97.63,Loyalty,Wholesale,Rugs,Decor
02/09/2018,66020,130,-639.62,Loyalty,Wholesale,Rugs,Decor
02/09/2018,66030,130,-9.19,Loyalty,Wholesale,Rugs,Decor
02/09/2018,66040,130,-58.32,Loyalty,Wholesale,Rugs,Decor
02/09/2018,66050,130,-40.74,Loyalty,Wholesale,Rugs,Decor
02/09/2018,66070,130,-19.32,Loyalty,Wholesale,Rugs,Decor
02/09/2018,66080,130,-9.19,Loyalty,Wholesale,Rugs,Decor
02/09/2018,66090,130,-47.25,Loyalty,Wholesale,Rugs,Decor
02/09/2018,66100,130,-5.13,Loyalty,Wholesale,Rugs,Decor
02/09/2018,66110,130,-0.54,Loyalty,Wholesale,Rugs,Decor
02/09/2018,66120,130,-2.85,Loyalty,Wholesale,Rugs,Decor
02/09/2018,66130,130,-65.89,Loyalty,Wholesale,Rugs,Decor
02/09/2018,66510,140,-94.06,Loyalty,Wholesale,Rugs,Decor
02/09/2018,66520,140,-21.05,Loyalty,Wholesale,Sculptures,Decor
02/09/2018,66530,140,-8.53,Loyalty,Wholesale,Sculptures,Decor
02/09/2018,66550,140,-41.90,Loyalty,Wholesale,Sculptures,Decor
02/09/2018,68050,170,-0.93,Loyalty,Wholesale,Sculptures,Decor
02/09/2018,68060,170,-91.88,Loyalty,Wholesale,Sculptures,Decor
03/09/2018,61510,150,-158.91,Loyalty,Wholesale,Sculptures,Decor
03/09/2018,61520,150,-318.11,Loyalty,Wholesale,Sculptures,Decor
03/09/2018,61530,150,-69.70,Loyalty,Wholesale,Sculptures,Decor
03/09/2018,61540,150,-52.39,Loyalty,Wholesale,Sculptures,Decor
03/09/2018,61550,150,-225.02,Loyalty,Wholesale,Sculptures,Decor
03/09/2018,61560,150,-139.33,Loyalty,Wholesale,Sculptures,Decor
03/09/2018,61570,150,-248.14,Loyalty,Wholesale,Sculptures,Decor
03/09/2018,62010,150,-1053.64,Loyalty,Wholesale,Sculptures,Decor
03/09/2018,62020,150,-857.94,Loyalty,Wholesale,Sculptures,Decor
03/09/2018,62030,150,-224.01,Loyalty,Wholesale,Sculptures,Decor
03/09/2018,62099,150,26.29,Loyalty,Wholesale,Serveware,Dining & Entertainment
03/09/2018,62510,120,-481.47,Loyalty,Wholesale,Serveware,Dining & Entertainment
03/09/2018,62520,120,-111.77,Loyalty,Wholesale,Serveware,Dining & Entertainment
03/09/2018,62530,120,-92.08,Loyalty,Wholesale,Serveware,Dining & Entertainment
03/09/2018,62550,120,-49.04,Loyalty,Wholesale,Serveware,Dining & Entertainment
03/09/2018,62560,120,-5.74,Loyalty,Wholesale,Serveware,Dining & Entertainment
03/09/2018,63050,150,-162.64,Loyalty,Wholesale,Serveware,Dining & Entertainment
03/09/2018,64000,150,313.91,Loyalty,Wholesale,Serveware,Dining & Entertainment
03/09/2018,64010,150,36.66,Loyalty,Wholesale,Serveware,Dining & Entertainment
03/09/2018,64020,150,9.04,Loyalty,Wholesale,Serveware,Dining & Entertainment
03/09/2018,65520,110,-49.64,Loyalty,Wholesale,Serveware,Dining & Entertainment
03/09/2018,65540,110,-518.08,Loyalty,Wholesale,Serveware,Dining & Entertainment
03/09/2018,65550,110,-1194.20,Loyalty,Wholesale,Serveware,Dining & Entertainment
03/09/2018,65570,110,-54.06,Loyalty,Wholesale,Serveware,Dining & Entertainment
03/09/2018,65590,110,-71.76,Loyalty,Wholesale,Serveware,Dining & Entertainment
03/09/2018,65600,110,-35.82,Loyalty,Wholesale,Serveware,Dining & Entertainment
03/09/2018,65610,110,-376.85,Loyalty,Wholesale,Serveware,Dining & Entertainment
03/09/2018,65620,110,-164.28,Loyalty,Wholesale,Serveware,Dining & Entertainment
03/09/2018,65630,110,2.86,Loyalty,Wholesale,Serveware,Dining & Entertainment
03/09/2018,65650,110,-122.60,Loyalty,Wholesale,Serveware,Dining & Entertainment
03/09/2018,65660,110,-118.66,Loyalty,Wholesale,Serveware,Dining & Entertainment
03/09/2018,65690,110,-38.53,Loyalty,Wholesale,Serveware,Dining & Entertainment
03/09/2018,65700,110,-414.24,Loyalty,Wholesale,Serveware,Dining & Entertainment
03/09/2018,65710,110,-497.60,Loyalty,Wholesale,Serveware,Dining & Entertainment
03/09/2018,65730,110,-11.88,Loyalty,Wholesale,Stemware,Dining & Entertainment
03/09/2018,65740,110,-336.92,Loyalty,Wholesale,Stemware,Dining & Entertainment
03/09/2018,65750,110,-500.32,Loyalty,Wholesale,Stemware,Dining & Entertainment
03/09/2018,65760,110,-6.43,Loyalty,Wholesale,Stemware,Dining & Entertainment
03/09/2018,66010,130,-88.33,Loyalty,Wholesale,Stemware,Dining & Entertainment
03/09/2018,66020,130,-578.70,Loyalty,Wholesale,Stemware,Dining & Entertainment
03/09/2018,66030,130,-8.31,Loyalty,Wholesale,Stemware,Dining & Entertainment
03/09/2018,66040,130,-52.76,Loyalty,Wholesale,Stemware,Dining & Entertainment
03/09/2018,66050,130,-36.86,Loyalty,Wholesale,Stemware,Dining & Entertainment
03/09/2018,66070,130,-17.48,Loyalty,Wholesale,Stemware,Dining & Entertainment
03/09/2018,66080,130,-8.31,Loyalty,Wholesale,Stemware,Dining & Entertainment
03/09/2018,66090,130,-42.75,Loyalty,Wholesale,Stemware,Dining & Entertainment
03/09/2018,66100,130,-4.64,Loyalty,Wholesale,Stemware,Dining & Entertainment
03/09/2018,66110,130,-0.49,Loyalty,Wholesale,Stemware,Dining & Entertainment
03/09/2018,66120,130,-2.58,Loyalty,Wholesale,Stemware,Dining & Entertainment
03/09/2018,66130,130,-59.61,Loyalty,Wholesale,Stemware,Dining & Entertainment
03/09/2018,66510,140,-85.11,Loyalty,Wholesale,Stemware,Dining & Entertainment
03/09/2018,66520,140,-19.05,Loyalty,Wholesale,Stemware,Dining & Entertainment
03/09/2018,66530,140,-7.72,Loyalty,Wholesale,Stemware,Dining & Entertainment
03/09/2018,66550,140,-37.91,Loyalty,Wholesale,Stemware,Dining & Entertainment
03/09/2018,68050,170,-0.85,Loyalty,Wholesale,Stemware,Dining & Entertainment
03/09/2018,68060,170,-83.13,Loyalty,Wholesale,Stemware,Dining & Entertainment
04/09/2018,61510,150,-184.01,Loyalty,Wholesale,Stemware,Dining & Entertainment
04/09/2018,61520,150,-368.34,Loyalty,Wholesale,Stemware,Dining & Entertainment
04/09/2018,61530,150,-80.71,Loyalty,Wholesale,Table Lamps,Lighting
04/09/2018,61540,150,-60.67,Loyalty,Wholesale,Table Lamps,Lighting
04/09/2018,61550,150,-260.55,Loyalty,Wholesale,Table Lamps,Lighting
04/09/2018,61560,150,-161.33,Loyalty,Wholesale,Table Lamps,Lighting
04/09/2018,61570,150,-287.32,Loyalty,Wholesale,Table Lamps,Lighting
04/09/2018,62010,150,-1220.00,Loyalty,Wholesale,Table Lamps,Lighting
04/09/2018,62020,150,-993.41,Loyalty,Wholesale,Table Linens,Dining & Entertainment
04/09/2018,62030,150,-259.38,Loyalty,Wholesale,Table Linens,Dining & Entertainment
04/09/2018,62099,150,30.44,Loyalty,Wholesale,Table Linens,Dining & Entertainment
04/09/2018,62510,120,-557.49,Loyalty,Wholesale,Table Linens,Dining & Entertainment
04/09/2018,62520,120,-129.42,Loyalty,Wholesale,Table Linens,Dining & Entertainment
04/09/2018,62530,120,-106.62,Loyalty,Wholesale,Table Linens,Dining & Entertainment
04/09/2018,62550,120,-56.78,Loyalty,Wholesale,Table Linens,Dining & Entertainment
04/09/2018,62560,120,-6.65,Loyalty,Wholesale,Table Linens,Dining & Entertainment
04/09/2018,63050,150,-188.32,Loyalty,Wholesale,Table Linens,Dining & Entertainment
04/09/2018,64000,150,363.47,Loyalty,Wholesale,Table Linens,Dining & Entertainment
04/09/2018,64010,150,42.45,Loyalty,Wholesale,Table Linens,Dining & Entertainment
04/09/2018,64020,150,10.47,Loyalty,Wholesale,Table Linens,Dining & Entertainment
04/09/2018,65520,110,-57.48,Loyalty,Wholesale,Table Linens,Dining & Entertainment
04/09/2018,65540,110,-599.88,Loyalty,Wholesale,Table Linens,Dining & Entertainment
04/09/2018,65550,110,-1382.75,Loyalty,Wholesale,Table Linens,Dining & Entertainment
04/09/2018,65570,110,-62.59,Loyalty,Wholesale,Table Linens,Dining & Entertainment
04/09/2018,65590,110,-83.09,Loyalty,Wholesale,Table Linens,Dining & Entertainment
04/09/2018,65600,110,-41.47,Loyalty,Wholesale,Table Linens,Dining & Entertainment
04/09/2018,65610,110,-436.36,Loyalty,Wholesale,Table Linens,Dining & Entertainment
04/09/2018,65620,110,-190.22,Loyalty,Wholesale,Table Linens,Dining & Entertainment
04/09/2018,65630,110,3.32,Loyalty,Wholesale,Table Linens,Dining & Entertainment
04/09/2018,65650,110,-141.96,Loyalty,Wholesale,Table Linens,Dining & Entertainment
04/09/2018,65660,110,-137.39,Loyalty,Wholesale,Table Linens,Dining & Entertainment
04/09/2018,65690,110,-44.62,Loyalty,Wholesale,Table Linens,Dining & Entertainment
04/09/2018,65700,110,-479.65,Loyalty,Wholesale,Vanities,Furniture
04/09/2018,65710,110,-576.16,Loyalty,Wholesale,Vanities,Furniture
04/09/2018,65730,110,-13.75,Loyalty,Wholesale,Vanities,Furniture
04/09/2018,65740,110,-390.12,Loyalty,Wholesale,Vanities,Furniture
04/09/2018,65750,110,-579.32,Loyalty,Wholesale,Vanities,Furniture
04/09/2018,65760,110,-7.45,Loyalty,Wholesale,Vanities,Furniture
04/09/2018,66010,130,-102.28,Loyalty,Wholesale,Vanities,Furniture
04/09/2018,66020,130,-670.07,Loyalty,Wholesale,Vanities,Furniture
04/09/2018,66030,130,-9.63,Loyalty,Wholesale,Vanities,Furniture
04/09/2018,66040,130,-61.09,Loyalty,Wholesale,Vanities,Furniture
04/09/2018,66050,130,-42.68,Loyalty,Wholesale,Vanities,Furniture
04/09/2018,66070,130,-20.24,Loyalty,Wholesale,Vanities,Furniture
04/09/2018,66080,130,-9.63,Loyalty,Wholesale,Vanities,Furniture
04/09/2018,66090,130,-49.50,Loyalty,Wholesale,Vanities,Furniture
04/09/2018,66100,130,-5.38,Loyalty,Wholesale,Vanities,Furniture
04/09/2018,66110,130,-0.57,Loyalty,Wholesale,Vanities,Furniture
04/09/2018,66120,130,-2.99,Loyalty,Wholesale,Vanities,Furniture
04/09/2018,66130,130,-69.03,Loyalty,Wholesale,Vanities,Furniture
04/09/2018,66510,140,-98.54,Loyalty,Wholesale,Vanities,Furniture
04/09/2018,66520,140,-22.06,Loyalty,Wholesale,Vanities,Furniture
04/09/2018,66530,140,-8.94,Loyalty,Wholesale,Vanities,Furniture
